,leaked_target_0,leaked_target_1,leaked_target_2,leaked_target_3,leaked_target_4,leaked_target_5,leaked_target_6,leaked_target_7,leaked_target_8,leaked_target_9,leaked_target_10,leaked_target_11,leaked_target_12,leaked_target_13,leaked_target_14,leaked_target_15,leaked_target_16,leaked_target_17,leaked_target_18,leaked_target_19,leaked_target_20,leaked_target_21,leaked_target_22,leaked_target_23,leaked_target_24,leaked_target_25,leaked_target_26,leaked_target_27,leaked_target_28,leaked_target_29,leaked_target_30,leaked_target_31,leaked_target_32,leaked_target_33,leaked_target_34,leaked_target_35,leaked_target_36,leaked_target_37,compiled_leak
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000.0,18000000.0,,,,,,,18000000.0
39,,6400000.0,,,,,,,,,6400000.0,,,,,6400000.0,,,,6400000.0,,,,,,,,6400000.0,6400000.0,,,6400000.0,6400000.0,,,,6400000.0,6400000.0,6400000.0
40,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0
41,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
42,,,,,,,5000000.0,,,,5000000.0,,,,5000000.0,5000000.0,,5000000.0,,5000000.0,,5000000.0,5000000.0,,,,,5000000.0,,,,5000000.0,,5000000.0,5000000.0,,,,5000000.0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,,,,9000000.0
44,,,,,,,,34738000.0,34738000.0,34738000.0,34738000.0,,,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,,,34738000.0,34738000.0,34738000.0,,34738000.0,,34738000.0,34738000.0,,34738000.0,34738000.0,,34738000.0,34738000.0,34738000.0,34738000.0
45,4000000.0,4000000.0,,4000000.0,,4000000.0,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,,4000000.0,4000000.0,4000000.0,,4000000.0,,4000000.0,4000000.0,,,,,,4000000.0,,4000000.0,,,,,,4000000.0
46,,,,,,1650000.0,,1650000.0,,,,,,,,,,,,,,,,,,,,,,,1650000.0,,,,,,,,1650000.0
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,13200000.0,,13200000.0,,13200000.0,,,,,13200000.0,,13200000.0,,13200000.0,13200000.0,,13200000.0,13200000.0,13200000.0,,,13200000.0,13200000.0,,,13200000.0,,13200000.0,,13200000.0,13200000.0,,,,,13200000.0,13200000.0
49,,,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
50,,,,,2450000.0,2450000.0,2450000.0,2450000.0,,2450000.0,,,2450000.0,2450000.0,2450000.0,,2450000.0,,2450000.0,2450000.0,2450000.0,2450000.0,,,,,,2450000.0,2450000.0,,2450000.0,,,2450000.0,,,,,2450000.0
51,10050000.0,10050000.0,,,,10050000.0,,10050000.0,,10050000.0,,,10050000.0,10050000.0,10050000.0,10050000.0,10050000.0,10050000.0,,10050000.0,,,10050000.0,,,10050000.0,10050000.0,10050000.0,10050000.0,,10050000.0,,10050000.0,,,,10050000.0,,10050000.0
52,,,,,,,,,,,1400000.0,,1400000.0,,,,1400000.0,,,,,1400000.0,,,,,,,,,,,,,,,,,1400000.0
53,2000000.0,2000000.0,,,2000000.0,,,2000000.0,,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,,2000000.0,2000000.0,,,,,,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,,2000000.0
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,232000.0,232000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232000.0
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,300000.0,,,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,300000.0
58,,,,,,,,,,,,,100000.0,,,,,,100000.0,,,100000.0,100000.0,,,,,,,100000.0,,,,,,,,,100000.0
59,,,,8000000.0,8000000.0,,8000000.0,,,,,,,8000000.0,,8000000.0,8000000.0,8000000.0,8000000.0,,,,,,,,,,,,,,,8000000.0,,,8000000.0,8000000.0,8000000.0
60,,20000000.0,,,20000000.0,20000000.0,20000000.0,20000000.0,,20000000.0,,20000000.0,,20000000.0,20000000.0,20000000.0,,,,,,20000000.0,20000000.0,20000000.0,,,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,20000000.0,,20000000.0,20000000.0
61,,19333333.34,,19333333.34,19333333.34,,19333333.34,19333333.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19333333.34
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,,28000000.0,28000000.0,28000000.0,,28000000.0,,28000000.0,,,,28000000.0,28000000.0,,28000000.0,28000000.0,,,28000000.0,,28000000.0,,,,,28000000.0
65,,,,101000.0,,101000.0,,,,,,,101000.0,101000.0,,,,,,,,,101000.0,,,,,,,,,,,,,,,,101000.0
66,,9000000.0,9000000.0,,9000000.0,9000000.0,9000000.0,9000000.0,,9000000.0,9000000.0,,,9000000.0,9000000.0,9000000.0,,,9000000.0,,9000000.0,9000000.0,,,,9000000.0,9000000.0,,,,,9000000.0,9000000.0,9000000.0,,9000000.0,9000000.0,9000000.0,9000000.0
67,12000000.0,12000000.0,12000000.0,,,,,,12000000.0,,12000000.0,,12000000.0,,12000000.0,,,12000000.0,12000000.0,,,,12000000.0,12000000.0,,,12000000.0,12000000.0,,,,,,,,,,,12000000.0
68,,,,,1068000.0,1068000.0,1068000.0,1068000.0,,1068000.0,,,1068000.0,1068000.0,1068000.0,,,,,,,,,,,,,,,,,,,,,,,,1068000.0
69,,10000000.0,10000000.0,10000000.0,,,,,,,,,10000000.0,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,10000000.0
70,,25000000.0,25000000.0,25000000.0,,25000000.0,,25000000.0,25000000.0,,,,,,25000000.0,,25000000.0,,,,,,,,,,,,,,,,,,,,,,25000000.0
71,,,,,,,,,,,,78000.0,,,,78000.0,,,,,,,,,,,,,,,,,,,,78000.0,,,78000.0
72,,,,,5000000.0,5000000.0,,,,5000000.0,5000000.0,,,,5000000.0,5000000.0,,,,,,,,,5000000.0,,,,,,,,,,,,,,5000000.0
73,,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,,,4000000.0,,4000000.0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0
74,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,,,32500000.0,32500000.0,32500000.0,32500000.0,,,,32500000.0,32500000.0,32500000.0,32500000.0,,,32500000.0,32500000.0,32500000.0,,,,,,,,,,,32500000.0
75,200000.0,,200000.0,,,,,200000.0,,,,200000.0,200000.0,,200000.0,200000.0,,,,200000.0,,,,,200000.0,,200000.0,,,200000.0,,,200000.0,,,,,,200000.0
76,620000.0,,,,620000.0,620000.0,,,620000.0,,,,,,,,,,,,,620000.0,620000.0,,,,,,,,,,,,,,,,620000.0
77,,200000.0,,200000.0,200000.0,,,,,,,200000.0,,,,200000.0,,,,,200000.0,200000.0,,,,,200000.0,,,200000.0,,,,,,200000.0,200000.0,,200000.0
78,10000000.0,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,10000000.0,,,10000000.0,,,,,,,,,,,10000000.0
79,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0
80,2290000.0,2290000.0,,,2290000.0,2290000.0,2290000.0,,,,2290000.0,2290000.0,,2290000.0,,,2290000.0,,2290000.0,2290000.0,,,,,,,,,,,,2290000.0,,2290000.0,2290000.0,2290000.0,2290000.0,,2290000.0
81,,3925333.34,,3925333.34,3925333.34,3925333.34,3925333.34,3925333.34,3925333.34,,,,3925333.34,3925333.34,3925333.34,,3925333.34,3925333.34,3925333.34,,3925333.34,3925333.34,,,,,,,,,,3925333.34,,3925333.34,,,3925333.34,3925333.34,3925333.34
82,,,,16000000.0,,,16000000.0,,16000000.0,,16000000.0,,,,,,,,,,,,,,,,,,,16000000.0,,,,,,,,,16000000.0
83,56000.0,,,56000.0,,,,,,56000.0,,56000.0,,,,,,,,56000.0,,56000.0,,,,,,56000.0,,,56000.0,56000.0,56000.0,,,56000.0,,,56000.0
84,,,,,9592000.0,,,9592000.0,9592000.0,,9592000.0,9592000.0,,9592000.0,,,9592000.0,,,,,,,,,,,,,,,,,,,,,,9592000.0
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,4500000.0,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,4500000.0
88,,,,4000000.0,,,,,,,,,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,1160000.0,,,,,,,,,,,,1160000.0
91,4000000.0,,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,4000000.0,,,4000000.0,,4000000.0,,4000000.0,,,4000000.0,,,,,,,,,,,,,,,,,4000000.0
92,,,,,,6008000.0,6008000.0,,,6008000.0,6008000.0,,,6008000.0,6008000.0,,,,,,6008000.0,,6008000.0,6008000.0,6008000.0,,,,,,,,,,,,,,6008000.0
93,,,,,,1000000.0,,,,,,,,,,,,,,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,1000000.0
94,3000000.0,,,,3000000.0,,,,3000000.0,,,3000000.0,3000000.0,3000000.0,,,3000000.0,,3000000.0,,,,3000000.0,,,,3000000.0,,,3000000.0,3000000.0,,3000000.0,,3000000.0,,,,3000000.0
95,30000000.0,,,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,,,,,30000000.0,,,,30000000.0,,,,,,30000000.0
96,,,,,,,,1800000.0,,,,,1800000.0,,,,1800000.0,,,,,,,,1800000.0,1800000.0,,,1800000.0,1800000.0,,,,1800000.0,1800000.0,,,,1800000.0
97,,,7000000.0,,7000000.0,,,,7000000.0,,,,7000000.0,,,7000000.0,7000000.0,,7000000.0,,7000000.0,,,,,7000000.0,,,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,,7000000.0,,,,7000000.0
98,2453200.0,2453200.0,2453200.0,2453200.0,,,,,,,,,,,,,,,2453200.0,,,2453200.0,2453200.0,,,,,2453200.0,,,2453200.0,,,,,,2453200.0,,2453200.0
99,8000000.0,,,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0
100,185200.0,,,,,,,,,,185200.0,185200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,185200.0
101,10000000.0,,,,,,,,,10000000.0,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,10000000.0
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,600000.0,600000.0,,,600000.0,600000.0,,,,,,600000.0,,600000.0,,,600000.0,,,,600000.0,,,600000.0,600000.0,,,600000.0,,,,,,600000.0,600000.0
104,2000000.0,2000000.0,,,,,,,,,2000000.0,,,,,2000000.0,2000000.0,,,,,,,,2000000.0,,,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,,,2000000.0
105,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,6000000.0
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,1000000.0
107,,,,2400000.0,,,,2400000.0,,2400000.0,2400000.0,,2400000.0,2400000.0,2400000.0,,,,2400000.0,2400000.0,,,,,,2400000.0,,,2400000.0,,,,,,,,,,2400000.0
108,,,2580000.0,,2580000.0,,,,,,,,,,,2580000.0,,,,,,,,,,,,,,,,,,,2580000.0,,,,2580000.0
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,100000.0,,,100000.0,100000.0,,,,100000.0,100000.0,,,100000.0,100000.0,100000.0,,,,,100000.0,,,100000.0,,100000.0,,100000.0,,,100000.0,,,,,,,100000.0,,100000.0
112,,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0
113,,,160000.0,,,,,160000.0,,160000.0,160000.0,160000.0,160000.0,,,160000.0,,,,,160000.0,160000.0,,160000.0,,,,160000.0,,,,,,,,,,,160000.0
114,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,,,3095200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095200.0
115,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0
116,1400000.0,,1400000.0,,,1400000.0,1400000.0,1400000.0,,1400000.0,,1400000.0,1400000.0,1400000.0,1400000.0,,,,,,1400000.0,1400000.0,,1400000.0,,,1400000.0,,,,,,,,,,,,1400000.0
117,,,,,,400000.0,400000.0,,,,,,,,,,,,,,,,,,,400000.0,,,,,400000.0,,,,,,,,400000.0
118,,600000.0,,,600000.0,600000.0,,,,,,,,600000.0,600000.0,,,600000.0,,,,,,,,,,,,,,,,,,,,,600000.0
119,,10000000.0,,,,10000000.0,10000000.0,,,,,,,,,,,10000000.0,,,,10000000.0,,,,10000000.0,,,,,,,,,10000000.0,,,,10000000.0
120,,,1500000.0,,1500000.0,,1500000.0,1500000.0,,,1500000.0,,,,1500000.0,1500000.0,1500000.0,,,,,,1500000.0,,,,,,,,,,,,,,,,1500000.0
121,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,8000000.0,,,,,,,,,8000000.0
122,,350000.0,350000.0,350000.0,350000.0,350000.0,,,,,,,,,,,,,,,350000.0,350000.0,,,,,350000.0,,350000.0,,,,,,,,,,350000.0
123,,,,,,,,,,600000.0,,,,,,600000.0,600000.0,,,,,600000.0,600000.0,600000.0,600000.0,600000.0,,,600000.0,,600000.0,,600000.0,,,,,,600000.0
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,16000000.0,16000000.0,,16000000.0,16000000.0,16000000.0,,,,,,16000000.0,,16000000.0,16000000.0,,,16000000.0,,,,,,,,,,,,,,,,,,,,16000000.0
126,20000000.0,20000000.0,20000000.0,20000000.0,,,,20000000.0,20000000.0,,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,20000000.0,20000000.0,,20000000.0,,,,20000000.0,,,20000000.0,,20000000.0,20000000.0,20000000.0,,20000000.0
127,10814666.66,10814666.66,10814666.66,10814666.66,,10814666.66,10814666.66,10814666.66,10814666.66,,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,,,10814666.66,,,,,,,,,,,,,,,10814666.66
128,,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,,2000000.0,2000000.0,2000000.0,,,,,,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,,,2000000.0,2000000.0,,2000000.0
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,3000000.0
131,,800000.0,800000.0,,,800000.0,800000.0,800000.0,800000.0,800000.0,,,,,800000.0,,800000.0,,,800000.0,800000.0,800000.0,800000.0,,,,,,,,,,,,,,800000.0,800000.0,800000.0
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,34000.0,,,,,,,,34000.0,,34000.0,,,,,,34000.0,,,34000.0,34000.0,34000.0,,,34000.0,,,,,,,,,,,,,,34000.0
134,4000000.0,4000000.0,,,,4000000.0,4000000.0,4000000.0,,,,,,,,,4000000.0,,,,4000000.0,,4000000.0,4000000.0,,,,,,,,,,,,,,4000000.0,4000000.0
135,2600000.0,2600000.0,,,2600000.0,,2600000.0,,,,,,2600000.0,,2600000.0,,2600000.0,,2600000.0,,2600000.0,2600000.0,,,2600000.0,,,,2600000.0,2600000.0,2600000.0,,2600000.0,2600000.0,,,,,2600000.0
136,25020000.0,25020000.0,,25020000.0,,,25020000.0,,,25020000.0,,,25020000.0,25020000.0,25020000.0,25020000.0,25020000.0,,25020000.0,,,25020000.0,25020000.0,,25020000.0,,25020000.0,,,,,,,25020000.0,,25020000.0,25020000.0,25020000.0,25020000.0
137,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
138,,,,2800000.0,2800000.0,2800000.0,,,,2800000.0,,,,,,,,,,2800000.0,2800000.0,,,,,,2800000.0,,,,,2800000.0,,,,,,,2800000.0
139,,,,,,52000.0,,,,,,,,,,,,52000.0,,,,,,,,,,,,,,,,,,,,,52000.0
140,100000.0,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
141,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,,,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,,700000.0,,,700000.0,,700000.0,,700000.0,,,700000.0,,,,,,,,700000.0
142,625000.0,625000.0,,625000.0,,,625000.0,,,,625000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,625000.0
143,32000000.0,32000000.0,32000000.0,,,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,,,,,32000000.0,,,,32000000.0,,,,32000000.0
144,,,3500000.0,,,3500000.0,,,3500000.0,,,3500000.0,3500000.0,3500000.0,,,,,3500000.0,,,3500000.0,3500000.0,3500000.0,,3500000.0,3500000.0,,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,,,,3500000.0,3500000.0,3500000.0
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,26428571.42,,,,,26428571.42,,,,,26428571.42,,26428571.42,,,,,,,,,,,,,,,,,,,,,,,,26428571.42
147,10000000.0,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
148,,,,,,,,,,,,14000000.0,,14000000.0,,,,,,,,14000000.0,,,,,,,,,,,,,14000000.0,,,,14000000.0
149,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,,,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0
150,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0
151,200000.0,,200000.0,,,,200000.0,,,,200000.0,200000.0,,,,,200000.0,,,,200000.0,200000.0,,,,,,,,,,,,,,,,,200000.0
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,163000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163000.0
154,3734230.76,3734230.76,,3734230.76,,3734230.76,3734230.76,3734230.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734230.76
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,,25100000.0,25100000.0,25100000.0,25100000.0,,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0,25100000.0
157,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
